"","budget","id","imdb_id","original_language","original_title","popularity","release_year","release_date","revenue","runtime","title","vote_average","vote_count"
"1",3e+07,862,"tt0114709","en","Toy Story",21.946943,1995,"10/30/95",373554033,81,"Toy Story",7.7,5415
"2",6.5e+07,8844,"tt0113497","en","Jumanji",17.015539,1995,"12/15/95",262797249,104,"Jumanji",6.9,2413
"3",1.6e+07,31357,"tt0114885","en","Waiting to Exhale",3.859495,1995,"12/22/95",81452156,127,"Waiting to Exhale",6.1,34
"4",0,45325,"tt0112302","en","Tom and Huck",2.561161,1995,"12/22/95",0,97,"Tom and Huck",5.4,45
"5",3.5e+07,9091,"tt0114576","en","Sudden Death",5.23158,1995,"12/22/95",64350171,106,"Sudden Death",5.5,174
"6",0,12110,"tt0112896","en","Dracula: Dead and Loving It",5.430331,1995,"12/22/95",0,88,"Dracula: Dead and Loving It",5.7,210
"7",4.4e+07,10858,"tt0113987","en","Nixon",5.092,1995,"12/22/95",13681765,192,"Nixon",7.1,72
"8",3e+07,9273,"tt0112281","en","Ace Ventura: When Nature Calls",8.205448,1995,"11/10/95",212385533,90,"Ace Ventura: When Nature Calls",6.1,1128
"9",5e+07,9691,"tt0112401","en","Assassins",11.065939,1995,"10/6/95",30303072,132,"Assassins",6,394
"10",0,16420,"tt0114057","en","Othello",1.845899,1995,"12/15/95",0,123,"Othello",7,33
"11",0,37557,"tt0115012","zh","摇啊摇，摇到外婆桥",1.100915,1995,"4/30/95",0,108,"Shanghai Triad",6.5,17
"12",0,47018,"tt0112637","en","Carrington",1.493361,1995,"11/8/95",0,121,"Carrington",6.4,16
"13",1.1e+07,687,"tt0112818","en","Dead Man Walking",6.891317,1995,"12/29/95",39363635,122,"Dead Man Walking",7.3,350
"14",0,34615,"tt0112749","en","Cry, the Beloved Country",0.894647,1995,"12/15/95",676525,106,"Cry, the Beloved Country",6.7,13
"15",1.9e+07,35196,"tt0114272","en","Restoration",10.979269,1995,"12/29/95",0,117,"Restoration",6.3,30
"16",0,8391,"tt0114916","en","When Night Is Falling",3.302524,1995,"5/5/95",0,96,"When Night Is Falling",5.9,10
"17",0,117164,"tt0109950","en","Guardian Angel",0.595949,1994,"11/22/94",0,93,"Guardian Angel",6.3,3
"18",0,49133,"tt0110299","it","Lamerica",1.361286,1994,"1/1/94",0,116,"Lamerica",7.7,11
"19",0,124057,"tt0113541","en","Kids of the Round Table",0.307075,1997,"7/8/97",0,89,"Kids of the Round Table",3,1
"20",0,19760,"tt0118002","en","Two If by Sea",2.174487,1996,"1/12/96",0,96,"Two If by Sea",4.5,14
"21",1.5e+07,9536,"tt0115683","en","Bio-Dome",6.387469,1996,"1/12/96",0,88,"Bio-Dome",4.4,110
"22",0,11525,"tt0116839","en","Lawnmower Man 2: Beyond Cyberspace",2.49535,1996,"1/12/96",2409225,92,"Lawnmower Man 2: Beyond Cyberspace",2.8,32
"23",0,4482,"tt0113149","fr","Gazon maudit",2.518051,1995,"2/8/95",0,95,"French Twist",6,43
"24",0,46785,"tt0112445","fa","بادکنک سفید",1.196256,1995,"1/1/95",0,85,"The White Balloon",7.5,20
"25",0,8447,"tt0112365","en","Angels and Insects",2.15166,1995,"9/10/95",0,118,"Angels and Insects",6.3,17
"26",0,61548,"tt0113490","en","The Journey of August King",0.411424,1995,"9/14/95",0,91,"The Journey of August King",6.7,3
"27",0,10874,"tt0117110","en","Muppet Treasure Island",6.902423,1996,"2/16/96",34327391,100,"Muppet Treasure Island",6.5,93
"28",1300000,103,"tt0075314","en","Taxi Driver",14.092713,1976,"2/7/76",28262574,114,"Taxi Driver",8.1,2632
"29",0,11104,"tt0109424","cn","重慶森林",6.778979,1994,"7/14/94",0,102,"Chungking Express",7.9,249
"30",1.7e+07,27793,"tt0110647","en","The NeverEnding Story III",6.252377,1994,"10/26/94",0,95,"The Neverending Story III: Escape from Fantasia",4.4,105
"31",0,44284,"tt0111055","ar","صمت القصور",0.406754,1994,"9/30/94",0,116,"The Silences of the Palace",4.3,3
"32",0,290157,"tt0110217","en","Jupiter's Wife",0.001178,1995,"1/1/95",0,87,"Jupiter's Wife",0,0
"33",0,73067,"tt0113107","it","Frankie Starlight",0.637554,1995,"11/22/95",0,101,"Frankie Starlight",5.4,4
"34",5e+07,11863,"tt0113451","en","Jade",11.418917,1995,"10/13/95",9851610,95,"Jade",5.1,45
"35",0,39428,"tt0113952","en","The Neon Bible",0.370342,1995,"8/23/95",0,91,"The Neon Bible",7.2,5
"36",3.1e+07,11000,"tt0115685","en","The Birdcage",6.49968,1996,"3/8/96",185260553,117,"The Birdcage",6.7,303
"37",0,249882,"tt0113200","en","Gospa",0.918504,1995,"10/12/95",0,125,"Virgin Mary",7,2
"38",0,16388,"tt0112585","en","The Brothers McMullen",2.039196,1995,"8/9/95",0,98,"The Brothers McMullen",6.3,23
"39",0,10474,"tt0112461","en","The Basketball Diaries",7.415144,1995,"4/21/95",0,102,"The Basketball Diaries",7.2,472
"40",4e+06,22279,"tt0112427","en","An Awfully Big Adventure",0.922958,1995,"7/21/95",851545,113,"An Awfully Big Adventure",6,11
